index,source_file,name,status,seconds,folder_path,consensus_status,decision_reason
1,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/04_CHAMPAPI_vol_7_Saxophone_Am_120bpm.wav,04_CHAMPAPI_vol_7_Saxophone_Am_120bpm.wav,pass,3.545,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
2,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/1.Saxophone_1_110bpm_Am.wav,1.Saxophone_1_110bpm_Am.wav,pass,3.363,Instruments/Instrument Loops/Loops,role_sanity_generic_pitched_broad_instrument_loop,generic pitched/mixed loop role chose broad Instrument Loops instead of an over-specific sax/guitar/synth/one-shot leaf
3,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA47_84bpm_Brass_Loop_Gm_Saxophone_Curious.wav,AA47_84bpm_Brass_Loop_Gm_Saxophone_Curious.wav,pass,3.114,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
4,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA47_85bpm_Brass_Loop_Em_Sax_Delay.wav,AA47_85bpm_Brass_Loop_Em_Sax_Delay.wav,pass,3.132,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
5,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_74bpm_Am_Sax_Loop_11.wav,AA_JBL_74bpm_Am_Sax_Loop_11.wav,pass,3.343,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
6,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_74bpm_Am_Sax_Loop_13.wav,AA_JBL_74bpm_Am_Sax_Loop_13.wav,pass,3.436,Instruments/Brass and Woodwinds/Loops,parent_eligibility_broad_bucket,"measured sax/woodwind claim beat non-reed FX or Human/Voice false positive: role=pitched_reed_or_instrument_loop, confidence=0.80; raw=FX/Human and Voice FX/Spoken Voice/Long FX; fallback=Instruments/Woodwinds/Saxophone/Loops; measured sustained pitched reed/instrument loop; drum-loop, human voice, FX, animal, machine, and ambience leaves are not eligible"
7,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_74bpm_Am_Sax_Loop_18.wav,AA_JBL_74bpm_Am_Sax_Loop_18.wav,pass,3.369,Instruments/Brass and Woodwinds/Loops,profile_candidate_brass_woodwind_claim,"BrainVoter had a nearby brass/woodwind profile candidate and measured audio supported pitched/reed instrument structure: role=pitched_reed_or_instrument_loop, shape=pitched_phrase:0.91; raw=FX/Human and Voice FX/Spoken Voice/Long FX"
8,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_78bpm_Cm_Sax_Loop_1.wav,AA_JBL_78bpm_Cm_Sax_Loop_1.wav,pass,2.974,Instruments/Brass and Woodwinds/Loops,parent_eligibility_broad_bucket,"measured sax/woodwind claim beat non-reed FX or Human/Voice false positive: role=pitched_reed_or_instrument_loop, confidence=0.78; raw=FX/Human and Voice FX/Spoken Voice/Long FX; fallback=Instruments/Woodwinds/Saxophone/Loops; measured sustained pitched reed/instrument loop; drum-loop, human voice, FX, animal, machine, and ambience leaves are not eligible"
9,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_86bpm_Cm_Sax_Loop_12.wav,AA_JBL_86bpm_Cm_Sax_Loop_12.wav,pass,3.409,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
10,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AA_JBL_90bpm_Em_Sax_Loop_3.wav,AA_JBL_90bpm_Em_Sax_Loop_3.wav,pass,3.519,Instruments/Instrument Loops/Loops,role_sanity_generic_pitched_broad_instrument_loop,generic pitched/mixed loop role chose broad Instrument Loops instead of an over-specific sax/guitar/synth/one-shot leaf
11,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AMV_LRNB1_86_saxophone_loop_dkny_G#m.wav,AMV_LRNB1_86_saxophone_loop_dkny_G#m.wav,pass,3.107,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
12,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AMV_VRNB1_102_brass_saxophone_loop_cranesinthesky_Am.wav,AMV_VRNB1_102_brass_saxophone_loop_cranesinthesky_Am.wav,pass,3.39,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
13,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AMV_VRNB1_120_brass_saxophone_loop_butterflyeffect_G#m.wav,AMV_VRNB1_120_brass_saxophone_loop_butterflyeffect_G#m.wav,pass,3.394,Instruments/Instrument Loops/Loops,strong_consensus,brain and physics shared the winning category
14,/mnt/data/v3190_fx_extract_inprocess/FX_Aaron2/Loop/Brass_Woodwind/AMV_VRNB1_120_brass_saxophone_loop_elevate_Am.wav,AMV_VRNB1_120_brass_saxophone_loop_elevate_Am.wav,pass,2.361,Instruments/Instrument Loops/Loops,parent_eligibility_broad_bucket,"instrument one-shot leaf conflicted with measured loop structure: role=pitched_music_loop, confidence=1.00; raw=Instruments/Brass/Trumpet/One Shots; fallback=Instruments/Instrument Loops/Loops; measured loop/phrase structure was safer than a source-specific instrument one-shot leaf"
